mode,distance,gender,age,familyincome,carown,ebmotor,orinb_jobmix,desnb_jobmix
1,3,1,1,3,1,1,0.427735482,0.847987487
1,3,1,1,3,1,1,0.427735482,0.847987487
1,2,1,1,3,0,1,0.180458229,0.180458229
1,2,1,1,3,0,1,0.180458229,0.180458229
1,5,0,1,3,0,1,0.582379258,0.58324963
1,5,0,1,3,0,1,0.582379258,0.58324963
1,3,1,1,3,0,0,0.540785031,0.427735482
1,3,1,1,3,0,0,0.540785031,0.427735482
1,3,1,1,3,0,0,0.540785031,0.427735482
1,0.5,1,1,3,1,1,0.427735482,0.582379258
1,0.5,1,1,3,1,1,0.427735482,0.582379258
1,2,0,1,3,1,0,0.556704483,0.539288649
1,1.5,0,0,3,1,1,0.539288649,0.539288649
1,2,1,0,3,0,0,0.539288649,0.539288649
1,2,1,0,3,0,0,0.539288649,0.539288649
1,3,0,1,3,0,1,0.764348123,0.637014671
1,4,0,1,3,0,1,0.582379258,0.427735482
1,4,0,1,3,0,1,0.582379258,0.427735482
1,0.5,0,0,3,0,1,0.427735482,0.62363746
1,0.5,0,0,3,0,1,0.427735482,0.62363746
1,0.2,1,0,3,0,1,0.427735482,0.427735482
1,0.2,1,0,3,0,1,0.427735482,0.427735482
1,2,0,0,3,0,1,0.427735482,0.57769002
1,2,0,0,3,0,1,0.427735482,0.57769002
1,4,1,0,3,0,0,0.847987487,0.556704483
1,4,1,0,3,0,0,0.847987487,0.556704483
1,3.33,0,0,3,1,0,0.427735482,0.525856197
1,3.33,0,0,3,1,0,0.427735482,0.525856197
1,4,1,0,3,0,1,0.427735482,0.582379258
1,4,1,0,3,0,1,0.427735482,0.582379258
1,3.5,0,0,3,0,1,0.62363746,0.370870157
1,3.5,0,0,3,0,1,0.62363746,0.370870157
1,1,0,0,3,1,1,0.62363746,0.847987487
1,1,0,0,3,1,1,0.62363746,0.847987487
1,3,1,0,3,0,0,0.556704483,0.466265906
1,12.5,0,1,3,0,0,0.582379258,0.637014671
1,1,1,1,3,0,0,0.539288649,0.539288649
1,1,1,1,3,0,0,0.539288649,0.539288649
1,2,0,0,3,0,0,0.611938588,0.651022581
1,2,0,0,3,0,0,0.611938588,0.651022581
1,1,0,0,3,0,1,0.62363746,0.62363746
1,1,0,0,3,0,1,0.62363746,0.62363746
1,5,1,1,3,0,0,0.753215666,0.180458229
1,5,1,1,3,0,0,0.753215666,0.180458229
1,5.5,0,0,3,1,1,0.847987487,0.180458229
1,5.5,0,0,3,1,1,0.847987487,0.180458229
