ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,D_PMSP,D_PCBD
542,8570,131,1,3,1997,2041.465816,879
544,14010,66,1,4,1979,1472.276457,889
546,18010,81,1,6,2002,1461.374308,882
547,13100,96,1,5,1980,1397.114427,835
548,15080,66,1,3,1988,1405.033708,840
552,12790,61.93,1,6,1985,634.5485203,628
555,15210,119,2,9,2005,474.9640183,497
556,15070,119,2,9,2006,484.8151853,486
557,13640,113,2,1,2005,1141.500547,825
558,14120,114,2,2,2005,1136.33047,838
560,14090,64,1,5,1996,2071.801548,1379
569,10770,60.67,1,2,1991,1534.884575,642
570,9900,97,1,3,1995,1550.773207,650
572,10060,52,1,2,1998,1103.483448,919
573,10060,101.3,1,5,2000,1091.893201,924
574,8180,140,2,7,2000,1090.85203,927
575,8700,55,1,2,1992,882.5311855,413
577,8370,115,1,7,1999,878.1434205,417
578,8840,54,1,3,1993,853.6800462,446
582,10090,45,1,17,2005,3306.825669,1274
583,9640,43,1,12,2006,3318.409598,1281
585,10020,60,1,1,1992,784.0512008,792
586,9450,51,1,4,1996,774.1370187,791
587,10170,62,1,3,1999,1046.027681,1107
588,10660,94,1,5,2002,1037.241889,1112
589,10860,94,1,5,2002,1030.276365,1122
590,8630,46,1,3,1990,607.0722757,188
591,7690,40,1,6,1988,3129.473807,1070
592,7560,48.3,1,3,1995,3145.928221,1082
593,7560,48.26,1,3,1995,3133.865954,1071
595,10320,140,1,6,2005,1837.143862,1089
597,13850,100,1,16,2007,496.5531561,896
600,7030,187.3,1,4,1997,1336.417495,1279
601,11660,112,1,13,2008,1343.313099,1268
602,13160,87.3,1,5,2009,1354.089714,1268
605,11660,133,2,2,2005,1604.382418,888
606,9100,84.7,1,6,1990,372.7624008,625
607,9930,79.5,1,5,1994,375.8499889,612
609,11110,202,2,21,2005,1346.927839,494
613,8890,47,1,4,1996,1561.876014,779
616,10960,56,1,5,2000,403.1331339,931
619,9250,76,1,3,1990,2218.828616,1199
623,11160,54,1,3,1988,2109.853144,1482
625,9140,68,1,6,1992,437.9137117,371
627,9110,50,1,5,1985,1132.798474,529
629,9620,53,1,4,1995,1144.942004,537
630,8630,46,1,3,1990,918.488563,409
634,10480,150,2,7,2005,618.8493587,956
635,13770,122,2,16,2005,652.6359206,1064
638,11480,98,1,5,2002,1064.480622,878
639,13230,83,1,1,2004,512.9339831,402
640,12930,146,2,1,2004,520.338507,403
642,10380,64,1,1,1962,410.7356616,476
643,9800,64.77,1,4,1980,401.3241389,477
644,11130,78.02,1,6,1996,412.1158011,471
646,10850,77,1,6,2006,2309.186722,1323
647,10960,42,1,8,2008,2312.30667,1321
649,9440,66.78,1,1,2000,896.3142787,768
650,8620,77,1,3,2003,899.6496008,867
651,10330,79,1,1,1992,937.5567959,845
653,10370,66,1,5,2000,919.2898685,853
654,8590,68.22,1,7,1997,410.3365472,573
656,9730,127.5,2,3,2000,402.1486851,570
657,9340,67,1,2,1998,838.6656427,764
659,10510,81,1,3,2002,851.7056609,762
661,10250,48,1,2,1985,1120.807144,605
664,10840,60,1,1,1985,963.4991998,507
667,8690,115.2,1,7,1999,2400.041537,956
668,19440,139.04,2,38,2005,408.3207409,338
669,19610,128.04,2,11,2005,406.2552146,327
672,8910,51.87,1,4,1990,130.1237708,656
674,8190,44,1,5,1988,2707.804863,1084
675,7670,47,1,3,1992,2688.767081,1071
676,10590,154,1,3,1997,912.6102732,668
678,11430,55,1,3,2000,906.6491762,664
679,9860,59.57,1,6,1992,1152.442124,812
680,10520,103,1,1,1995,1141.639326,815
683,9580,70,1,3,1997,2717.239034,1457
688,8750,65,1,5,1990,1043.42551,691
689,11990,117,1,5,1997,1022.511241,676
691,9040,81.79,1,2,2000,2342.40006,1481
692,8820,80.5,1,2,2002,2327.36934,1385
695,13330,66.06,1,4,1995,1995.098342,836
700,10480,67,1,3,1990,482.1819879,652
701,9560,60,1,5,1990,467.6206013,661
703,8640,124,2,4,1998,935.7847533,471
705,9190,94,1,3,2000,951.1868222,478
706,9220,54,1,3,1990,845.0032668,465
707,9190,94,1,3,1995,828.793616,474
708,9040,85.36,1,4,1985,233.0475617,450
709,8470,50,1,6,1994,240.9404399,482
712,9400,47.3,1,6,1988,1724.441495,764
713,8950,69,1,2,1990,1718.439863,823
716,16970,70,1,5,1985,1739.515137,754
718,16950,40,1,4,1990,1734.198783,750
720,10600,81.41,1,5,2009,777.5571765,979
721,11100,116.32,2,4,2009,795.3845014,992
724,12980,131.11,2,1,2009,822.7578838,1025
729,7790,78,1,7,1987,664.8668966,778
730,9400,80,1,5,1991,683.6477011,767
731,13350,93,1,6,1988,665.1467372,782
732,8800,44,1,6,1990,671.1576474,784
735,11400,85,1,1,2000,1206.828926,1256
737,8260,55,1,6,1995,1403.307649,1396
738,11190,60.37,1,5,1997,1402.817009,1387
739,11660,62,1,5,1999,1410.640861,1383
740,11570,90,1,7,1999,1231.258293,1358
742,11280,100,2,4,2000,1220.353089,1361
745,9810,42,1,4,1993,598.7261416,672
746,8770,73,1,7,1994,582.9477578,686
747,9790,83,1,3,1996,581.1586226,681
748,9050,71,1,2,1990,1068.431887,891
749,7180,55.8,1,6,1995,1068.672154,894
751,11550,74,1,7,2000,1842.497092,701
752,11350,75,1,6,2000,1820.937022,684
757,13810,126,2,11,2005,2408.781204,1393
758,13300,127,2,11,2008,2404.50697,1402
762,12580,102,1,16,2009,4561.505099,1541
763,12000,91,1,18,2009,4555.794538,1536
766,11030,136.59,2,2,2009,2081.617455,1380
767,11690,140.71,2,18,2009,2158.030024,1410
768,11430,140.54,2,2,2009,2156.02646,1417
771,9070,127.46,1,8,2000,2360.505688,897
772,8480,61.45,1,3,1998,2408.987752,968
773,9830,121,2,2,2001,2396.43987,965
774,10050,118,1,4,2004,2405.57789,970
776,10110,120.6,2,2,2000,2707.429628,932
778,8410,62,1,3,1998,2099.785426,933
780,8410,62,1,3,1998,2082.761774,934
781,10090,95,1,2,1998,1786.601741,661
783,9310,131,2,3,1998,1779.881784,666
784,8890,65.16,1,6,1991,1600.949667,798
785,10630,103,1,2,1998,1585.982907,796
786,8060,147,1,4,2005,1581.221571,808
787,9350,28,1,1,1980,1145.047228,451
790,9680,69,1,5,1988,1282.07602,491
798,9510,68.2,1,5,1995,1072.073185,865
799,10030,101.55,1,4,1990,994.2255209,776
803,11360,55,1,3,1992,888.2482026,641
804,10350,63,1,4,1993,893.3339743,637
805,11770,74,1,3,1985,417.2895407,366
807,13500,42.74,1,6,2009,405.5241695,353
808,8630,62,1,6,1990,282.9804709,622
810,8470,95,1,1,2000,281.3686383,612
814,11540,146,2,9,2003,2919.079797,930
816,8710,257,2,6,2004,2930.252061,942
817,8650,60,1,6,1993,626.3375768,610
818,9750,58,1,5,1995,613.3402176,612
819,10120,65.5,1,3,1998,620.1880784,602
820,8440,51,1,4,1996,2102.046375,1255
821,9400,41.33,1,3,1997,2093.163318,1249
824,11760,62.39,1,17,2009,1115.672604,1254
825,8860,58,1,6,1990,1502.560952,553
827,9210,52,1,2,1997,1491.391097,544
828,9050,59,1,6,1995,1060.804371,590
829,9720,59.6,1,4,1995,1056.127596,590
831,8840,70,1,2,1988,2998.447326,1179
832,8010,56.5,1,6,1990,2982.810268,1172
834,11250,63,1,2,1996,1355.093749,487
836,9800,68,1,3,1995,1378.295121,503
837,9460,61.01,1,5,1992,2166.755967,1112
839,9690,61,1,5,1993,2159.134949,1102
841,9390,59,1,3,1993,2089.197321,876
843,10610,105,1,5,2001,1923.924,1120
844,12640,138,2,4,2004,1936.257699,1135
845,12400,217,1,9,2005,1896.109172,1143
846,12000,102,1,1,2006,1584.033262,1047
847,10210,42,1,14,2006,1593.810767,1063
848,14490,142,2,8,2008,1571.445426,1059
851,13970,91,1,4,2000,1221.219263,606
852,16350,86,1,6,1997,2072.998871,1015
853,16400,86,1,4,1997,2066.030806,1018
854,17110,72,1,3,2000,2044.243767,1035
855,10210,63,1,1,1998,1108.075417,913
858,12550,135,2,3,2005,1573.085038,1034
859,16180,167,1,8,2005,1580.802698,1015
860,13920,149,2,12,2006,1557.590028,1025
863,14380,134.36,2,2,2010,990.0399124,1290
864,12830,133.94,2,33,2010,979.1453489,1279
865,11750,99,1,3,2005,1615.021747,1269
866,8760,96,1,9,2005,1604.870845,1257
869,11530,120,1,9,2003,1045.642998,1001
871,8980,112.67,1,10,2007,1186.659951,987
875,9050,111.93,1,9,2007,1231.568766,941
876,9050,128.7,2,9,2007,1242.372076,944
877,11420,88,1,1,1993,1370.808717,825
878,11380,88.5,2,1,1993,1378.302801,834
880,10390,70,1,3,1990,679.9158399,497
882,7830,146,1,15,1996,698.0617532,566
883,7890,170,1,14,1996,684.0764131,577
885,8960,147,2,2,1999,2038.296165,1013
886,10030,150,2,4,2004,2029.393169,1017
887,10830,153,2,2,2005,2021.77909,1002
889,12950,136,2,2,2002,1260.066883,590
890,9750,63.18,1,3,1985,944.7654751,613
892,12230,63,1,3,1998,933.7396485,611
893,9460,47,1,6,1998,2805.301455,1373
894,9690,61,1,4,1999,2798.782696,1380
895,9690,61,1,4,1999,2786.069794,1366
896,12430,71,1,4,1998,1074.406415,655
898,13600,140,2,11,2003,1071.465111,661
901,11130,94,2,7,2000,2062.215127,791
903,9080,53.71,1,5,1986,2570.503149,1162
904,9440,87.71,1,5,1988,2580.140969,1153
905,11880,100,1,3,1995,1583.169153,710
907,11480,62.66,1,4,1995,1469.13362,771
908,11700,100,1,6,1996,1460.318741,777
909,10850,73,1,6,1997,1470.873158,772
911,12530,128.37,1,7,2008,1722.109444,1103
912,11660,129,2,8,2008,1729.064174,1088
913,12480,94,1,4,2009,1709.623603,1104
916,12930,165,2,3,2010,1074.082367,1287
919,9130,64.61,1,4,2008,936.5648067,707
921,15230,106.12,1,3,2009,855.4708964,723
930,14210,149.33,2,6,2008,1056.899129,829
931,12240,105.64,1,6,2009,1049.392291,861
934,8540,68.74,1,4,2009,920.9075451,923
938,9450,64,1,4,2000,2644.679546,992
939,7690,53.3,1,5,1990,1185.675172,582
942,9710,131,2,3,1997,2393.480579,1110
946,9630,65.3,1,4,2000,350.0555064,565
947,7090,51,1,7,1988,2659.142268,990
949,8690,58,1,2,1994,2667.116246,984
950,8110,53,1,2,1995,992.6471523,1104
951,11940,65,1,4,2001,985.368271,1114
957,9310,53.62,1,2,1993,251.4522499,441
959,14890,129.88,2,20,2000,652.7387825,540
960,14830,220,2,21,2000,654.306925,537
966,12430,104.17,1,6,2000,511.4841642,574
967,10670,68,1,2,1990,1078.046428,619
972,14690,91,1,2,1992,1529.338767,750
973,8080,41,1,1,1982,1593.53604,816
976,12140,67,1,7,2005,1361.186618,1048
978,11370,80,2,11,2007,1346.719075,1045
982,7480,50,1,5,1987,1954.027927,906
983,9800,70,1,5,1990,1935.988276,1028
985,14110,56.82,1,5,1987,2066.970305,795
990,8860,74,1,4,1995,1253.687732,668
992,9140,56,1,6,1985,1046.658903,681
993,10720,57,1,1,1995,1022.958366,679
997,10550,72,1,3,1996,1094.887875,647
998,14130,57.8,1,3,1988,1627.104935,808
999,19310,81.4,1,7,2003,1628.053449,806
1000,13630,93.13,1,6,1983,1584.767929,748
1002,13650,97.3,1,4,1998,1574.552864,749
1005,11570,91,1,1,2004,2352.640263,1194
1006,16150,57,1,6,2005,2762.555924,1471
1007,15690,69.13,2,6,2005,2766.191544,1469
1010,14740,57.9,1,16,2005,2760.8941,1474
1011,13750,114,2,3,2006,2752.820038,1440
1013,12210,68,2,9,2004,2095.791695,1188
1014,15530,70,2,6,2006,2088.208964,1187
1015,11890,85,1,3,2000,742.7821857,911
1021,8820,45,1,5,1988,248.0832264,666
1022,9310,72.05,1,6,1990,238.4658628,660
1023,8720,45,1,4,1990,243.8276359,663
1024,9080,65,1,2,1985,221.3768063,647
1025,8050,43,1,3,1988,227.9999896,652
1031,11040,89,2,7,2000,1903.751915,1015
1033,13510,81,1,4,1998,1075.07851,809
1034,10290,133.13,2,6,2001,1061.024573,794
1036,10030,82,1,2,1997,1936.013616,991
1037,13580,118.25,2,4,2002,1924.17851,996
1043,9660,58,1,5,1990,656.907924,1070
1044,10030,59.86,1,6,1993,647.4176605,988
1046,8770,60.37,1,5,1975,430.1999603,372
1048,13140,115,1,8,2007,438.2957437,366
1050,10900,193,2,7,2003,1263.183448,436
1052,14070,80,1,2,1999,1715.29774,753
1054,10170,93,1,8,2000,2425.348097,1396
1055,10620,112,1,27,2000,2412.132851,1414
1057,10810,172.39,2,13,2004,2376.494646,1364
1059,7670,143,2,1,2009,2386.646895,1354
1062,7180,40,1,7,2008,2451.161033,1318
1063,11190,70.29,1,1,1995,354.3399816,597
1064,14450,64,1,2,1997,338.7764324,606
1065,13200,113.31,1,12,2002,335.9412903,614
1069,7380,105,1,11,2000,1266.528775,451
1070,6740,188,1,8,2002,1255.143825,454
1071,7550,104,1,11,2003,1255.777103,446
1073,8090,170,1,5,2002,1166.287991,710
1074,9440,58,1,1,1998,2231.573853,1675
1075,10910,51,1,6,1998,2229.20271,1680
1076,9750,55.36,1,6,1999,2220.367899,1670
1077,8330,47,1,2,1998,2022.667214,1321
1078,6660,106,1,7,2000,2023.748172,1324
1080,13990,185.55,2,10,2009,1054.500884,1046
1082,13430,113.35,1,18,2009,1150.433049,1316
1084,14490,143.52,1,10,2009,1108.982381,1069
1088,9900,57.25,1,3,1990,299.2651762,722
1093,13520,49,1,6,1995,345.5268796,260
1094,11870,52.29,1,4,1995,336.626166,270
1096,13640,71.4,1,1,1993,505.2746205,475
1097,12600,49,1,6,1994,502.18317,480
1098,14440,53.94,1,6,1996,494.1670686,473
1099,9140,61,1,4,1988,286.0892311,613
1103,14090,118,1,4,2003,1372.827808,529
1106,17960,64,1,4,1990,1578.78525,690
1107,17430,49.8,1,3,1992,1590.240833,680
1111,9260,63.46,1,4,1990,385.181712,709
1113,8540,55,1,4,1996,367.674168,709
1114,10910,118,2,10,2001,710.1804411,864
1115,10940,118,2,10,2005,717.0141382,854
1116,9990,117.07,2,4,2005,704.4213486,852
1119,12190,95,1,4,2005,3005.679383,1459
1123,9500,97,1,10,2000,2774.359836,1323
1125,10020,120,1,14,2002,2779.883371,1332
1126,10020,60,1,6,1992,896.5973022,637
1127,9350,58,1,5,1994,886.0420847,644
1133,9710,59,1,13,2006,3388.645154,1258
1134,9290,110,1,24,2006,3386.235389,1254
1135,10610,111,1,10,2002,3491.222094,1246
1143,15700,238.32,4,2,2010,865.121416,815
1150,11910,44.05,1,24,2008,2827.863404,1061
1151,11980,33.4,1,16,2008,2836.155067,1055
1152,9430,75.19,1,10,2008,2861.762215,1042
1154,10610,28.4,1,31,2008,2778.766207,971
1155,10260,33.24,1,27,2008,2781.42515,978
1156,10100,30.83,1,22,2009,2892.405068,1075
1157,10110,72.1,1,5,2009,2893.754277,1072
1158,10690,64.29,1,15,2009,2819.562784,1071
1159,12170,43,1,8,2009,2809.953613,1079
1160,10760,34,1,12,2010,2806.183344,1079
1162,11150,66.19,1,48,2008,1096.917083,480
1163,10000,66.4,1,31,2009,1096.088186,475
1165,8090,59.66,1,6,1998,1813.14096,1058
1166,8820,60,1,25,1998,1806.090159,1052
1167,10820,102,1,5,2000,2765.228927,1427
1170,9770,161,2,5,2000,2833.036498,1435
1171,11260,102,1,2,2000,2846.377922,1426
1174,10750,55,1,22,2010,1287.745081,440
1175,10650,55,1,25,2010,1278.037427,433
1177,9300,53.62,1,2,1992,369.9076899,474
1178,9500,56.85,1,6,1995,338.0654912,473
1179,8340,50,1,3,1988,2068.972755,898
1180,8960,61,1,9,1998,2056.510245,895
1181,8500,92,1,20,1999,2067.525862,905
1182,8150,50,1,4,1989,1780.538257,1108
1185,10750,139,1,5,2004,1309.741893,1308
1187,11700,132.18,2,5,2006,1297.222463,1313
1189,8360,85.5,1,7,1999,1033.184347,1044
1190,10080,75,1,4,2002,1045.81111,1035
1192,8410,58,1,7,1997,1092.998233,817
1195,10100,75,1,6,1999,1394.893265,832
