ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
5706,8460,100,1,10,2009,0,0,0,0,2065.731171,2232,1622.141
5708,7020,73.13,1,4,1990,0,0,0,2,3551.448773,2443,1995.251
5709,6460,59.68,1,2,1992,0,0,0,0,3497.725521,2478,2030.242
5710,6780,135,2,6,2004,0,0,0,0,3468.956191,2507,2058.916
5711,6850,52,1,6,1994,0,0,0,2,423.2405407,1430,981.5774
5712,7570,80,1,4,1999,0,0,0,0,390.3101338,1432,983.438
5716,6430,72,1,9,2010,0,0,0,0,2223.295791,2046,1598.146
5718,7940,62.92,1,2,2000,0,0,0,2,880.7062889,1701,1252.681
5719,7960,82,1,1,2001,0,0,0,0,891.7482743,1647,1198.785
5720,7420,64.34,1,3,1998,0,0,0,2,1324.49639,1727,1278.948
5721,7930,78,1,2,2000,0,0,0,2,1336.641123,1816,1367.739
5722,11530,128,2,3,2010,0,0,1,0,2832.163485,2382,2813.77
5726,8660,119.8,1,3,2000,0,0,0,0,251.8886585,1028,579.993
5728,7150,53,1,5,1993,0,0,0,0,1295.21123,1684,1235.656
5729,7460,64,1,6,1997,0,0,0,2,1277.101284,1664,1215.5
5733,4470,44,1,4,1985,0,0,0,0,4492.154879,4588,4867.27
5734,4210,85,1,1,2005,0,0,0,0,4811.685468,5281,6206.827
5736,7930,53,1,5,1998,0,0,0,0,488.6450029,1232,784.1027
5737,8320,54.01,1,4,1998,0,0,0,0,467.2881948,1237,788.4664
5738,8640,120,1,2,2004,0,0,0,0,519.2669674,1580,2505.092
5741,9150,105,1,1,2004,0,0,0,2,1194.31635,1940,1491.775
5743,7520,90,1,2,2005,0,0,0,0,1187.37796,1949,1500.717
5749,5030,130,2,6,2005,0,0,0,0,5299.576454,4846,5771.221
5751,5090,82,1,5,2006,0,0,0,2,5099.272409,4710,5635.116
5756,9190,131.26,2,5,2009,0,0,1,2,661.3299019,3156,4069.723
5757,9020,132.01,2,2,2009,0,0,1,0,697.1973821,3146,4060.498
5759,9030,90.87,1,3,2009,0,0,1,2,767.2390427,3143,4057.005
5762,9030,142.77,2,4,2009,0,0,1,0,644.9200114,2056,2981.167
5763,9020,131.13,2,2,2009,0,0,1,0,614.4746813,2057,2982.704
5764,9170,142.72,2,5,2009,0,0,1,0,667.1229043,2067,2992.436
5766,9240,119.11,2,5,2009,0,0,1,0,750.9268956,2086,3011.462
5768,9020,142.78,2,5,2009,0,0,1,2,699.1601509,2043,2968.842
5769,9020,132.34,2,4,2009,0,0,1,2,712.3463574,2047,2972.641
5770,9020,121.77,2,5,2009,0,0,1,0,730.1839279,2053,2978.779
