ID,N_type,Gender,Age,Stay,H_type,Education,Employ,F_income
577,1,1,26,3,1,3,1,4
578,1,1,36,6,2,3,1,3
579,1,1,41,22,1,4,1,5
580,1,1,45,6,1,3,1,4
581,1,2,40,15,1,3,1,4
582,1,2,41,41,1,3,1,4
583,1,1,49,30,2,3,1,4
584,1,2,46,46,1,3,1,4
585,1,1,48,48,1,3,3,3
586,1,1,35,35,1,4,1,4
587,1,2,25,6,2,3,1,5
589,1,1,43,20,1,3,1,6
590,1,1,25,2,2,3,1,4
591,1,2,34,8,1,3,1,4
592,1,1,66,2,1,3,3,5
594,1,1,42,20,2,3,1,6
595,1,1,37,37,1,3,1,5
596,1,2,29,29,1,3,1,4
597,1,1,38,38,1,3,1,3
598,1,2,62,62,1,2,3,5
599,1,1,72,72,1,2,3,6
600,1,2,42,42,1,2,1,4
601,1,2,23,2,2,3,1,3
602,1,1,58,58,1,1,1,3
603,1,1,66,66,1,1,3,2
604,1,1,65,42,1,2,3,6
605,3,2,55,55,1,3,3,5
606,3,1,26,1,2,3,1,5
607,3,2,50,30,1,3,1,5
609,4,1,61,60,1,3,3,2
610,4,2,40,15,1,3,1,2
611,4,2,28,11,1,3,1,3
612,4,1,73,18,1,2,3,2
613,4,2,65,32,1,3,3,6
614,4,2,71,10,1,1,3,4
615,4,2,81,13,1,3,3,2
616,4,1,28,3,2,3,1,3
617,4,1,28,10,2,4,1,5
618,4,1,29,2,2,4,1,4
619,4,2,24,1,2,3,1,3
621,4,2,92,92,1,3,3,5
622,4,2,24,2,2,3,1,6
623,2,2,39,unknown,1,3,2,4
624,2,1,43,5,1,2,1,3
625,2,1,23,1,2,3,2,6
626,2,1,22,2,2,3,1,5
627,2,2,35,12,1,3,1,3
628,2,1,58,58,1,1,3,2
629,2,1,84,7,1,1,3,4
630,2,2,65,51,1,3,3,2
633,4,2,32,14,1,4,1,6
634,4,1,31,9,2,2,1,6
635,4,1,25,2,2,4,1,4
636,4,1,19,2,2,3,2,3
637,4,1,64,40,1,4,3,5
638,4,1,28,10,2,4,1,5
639,4,2,24,1,2,4,1,3
640,4,2,27,2,2,4,1,3
641,4,2,23,2,2,2,1,2
642,4,1,66,4,1,2,3,1
644,4,2,22,5,2,3,1,4
675,4,2,33,10,1,3,1,6
676,4,2,35,5,2,3,1,5
678,2,2,26,10,1,2,1,4
679,2,1,35,3,1,3,1,2
