ID,N_type,Gender,Age,Stay,N_year,H_type,Education,Employ,H_price
333,3,1,28,15,10,2,3,1,400
334,3,1,62,20,6,1,1,3,60
335,3,1,76,25,8,1,1,3,110
336,3,2,24,16,13,1,3,1,440
337,3,2,27,18,15,2,3,1,200
343,1,2,30,14,9,1,4,1,610
344,1,1,85,31,13,1,2,3,210
345,1,2,57,25,14,1,1,3,270
346,1,2,26,16,12,2,3,1,470
347,1,2,30,17,13,1,3,1,340
348,1,2,68,68,12,1,1,3,220
349,1,1,36,20,14,1,3,1,390
350,1,1,31,unknown,18,1,3,1,510
351,1,1,42,22,15,1,3,1,290
352,1,1,25,18,16,1,3,1,270
353,1,2,40,21,15,2,1,1,170
354,1,1,57,25,14,2,1,1,180
355,1,1,49,25,17,2,1,2,120
356,1,1,52,24,15,2,1,2,140
357,1,2,60,28,17,1,1,3,210
358,1,2,50,22,12,2,1,2,150
359,1,2,86,31,12,1,1,3,140
360,1,1,69,31,18,2,1,2,140
364,2,1,24,11,7,1,3,1,240
365,2,2,28,13,8,2,2,1,170
366,2,1,45,16,6,1,2,1,270
367,2,1,25,12,8,2,3,1,340
368,2,1,26,15,11,2,3,1,390
369,2,1,28,10,4,2,1,1,300
370,2,2,22,10,6,2,3,1,270
371,2,1,29,17,13,2,3,1,610
372,2,1,24,6,1,2,3,1,250
373,2,1,54,17,4,1,1,3,520
378,2,1,53,23,13,2,2,2,140
379,2,1,28,18,14,2,3,1,1100
380,2,2,27,11,6,2,2,1,290
381,2,2,30,15,10,1,3,1,390
383,2,1,34,16,10,1,3,1,370
384,2,2,24,13,9,2,1,1,120
386,2,1,28,12,6,2,1,1,120
387,2,1,34,34,11,2,2,1,340
388,2,2,26,15,11,1,3,1,270
389,2,1,68,23,8,1,3,2,160
402,3,2,25,18,15,2,3,1,200
404,3,1,36,18,12,1,4,1,600
405,3,1,28,12,6,2,4,1,580
406,3,1,59,28,18,1,1,1,610
407,3,1,35,14,7,1,4,1,580
409,3,1,35,19,14,1,4,1,520
410,2,2,30,7,7,1,1,1,130
411,2,2,53,18,6,2,1,3,200
413,2,2,63,24,11,1,1,2,130
414,2,1,50,19,8,1,1,1,170
